face	Iniciála	Částka	Zaplaceno	Poznámka
8.9	-	785,00 Kč	1	počáteční stav
12.9	TP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.9	TP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
13.9	JU	20,00Kč	1	neaktualizovaná planning tabulka při kontrole
15.9	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.9	TP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
15.9	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.9	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.9	TCH	20,00 Kč	1	neomluvená účast na daily
16.9	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
16.9	HK	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
16.9	TK	20,00 Kč	1	nepřeplánování úkolů pro česání do deadlinu
19.9	PS	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
21.9	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
22.9	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.9	TP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
23.9	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
26.9	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.9	TP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
26.9	PSP	20,00 Kč	1	nepřeplánovaný červený sloupec při kontrole
29.9	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.9	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
29.9	MH	20,00 Kč	1	neomluvený pozdní příchod
30.9	MH	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
30.9	PSP	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
5.10	PS	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
5.10	LM	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
7.10	JU	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
10.10	PSP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
11.10	TCH	20,00 Kč	1	neaktualizovaná planning tabulka při kontrole
11.10	TP	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
12.10	JU	20,00 Kč	1	chybějící výkazy vzhledem k docházce při kontrole
